,Product_name,Product_Description,Price_of_Product,Reviews_of_the_Product
21,"OPPO Reno8 Pro 5G (Glazed Black, 256 GB)","OPPO Reno8 Pro 5G (Glazed Black, 256 GB)4.42,498 Ratings & 283 Reviews12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediatek Dimensity 8100 Max Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories₹41,703₹52,99921% offFree deliveryOnly 2 leftBank Offer","₹41,703","4.42,498 Ratings & 283 Reviews"
22,"OPPO Reno7 Pro 5G (Starlight Black, 256 GB)","OPPO Reno7 Pro 5G (Starlight Black, 256 GB)4.38,573 Ratings & 1,112 Reviews12 GB RAM | 256 GB ROM16.51 cm (6.5 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 1200-Max Processor65W SuperVOOC | OPPO Sony IMX766 Flagship Rear Camera SensorAircraft-Grade Shooting Star Design | OPPO Glow1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories₹47,990","₹47,990","4.38,573 Ratings & 1,112 Reviews"
23,"OPPO Reno7 Pro 5G (Startrails Blue, 256 GB)","OPPO Reno7 Pro 5G (Startrails Blue, 256 GB)4.38,573 Ratings & 1,112 Reviews12 GB RAM | 256 GB ROM | Expandable Upto 7 GB16.51 cm (6.5 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 1200-Max Processor65W SuperVOOC | OPPO Sony IMX766 Flagship Rear Camera SensorAircraft-Grade Shooting Star Design | OPPO Glow1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories₹47,990","₹47,990","4.38,573 Ratings & 1,112 Reviews"
24,"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","SponsoredSAMSUNG Galaxy F14 5G (OMG Black, 128 GB)4.261,706 Ratings & 4,311 Reviews6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 2MP | 13MP Front Camera6000 mAh BatteryExynos 1330, Octa Core Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories₹12,490₹18,49032% offFree deliveryFestive Best PriceUpto ₹8,200 Off on Exchange","₹12,490","4.261,706 Ratings & 4,311 Reviews"
25,"POCO X5 5G (Supernova Green, 256 GB)","SponsoredPOCO X5 5G (Supernova Green, 256 GB)4.213,135 Ratings & 980 Reviews8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display48MP + 8MP + 2MP | 13MP Front Camera5000 mAh BatteryQualcomm Snapdragon 695 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹14,999₹23,99937% offFree deliveryTop Discount of the SaleUpto ₹11,300 Off on Exchange","₹14,999","4.213,135 Ratings & 980 Reviews"
26,"vivo V29 Pro 5G (Black, 256 GB)","vivo V29 Pro 5G (Black, 256 GB)4.5832 Ratings & 131 Reviews12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 12MP + 8MP | 50MP Front Camera4600 mAh BatteryDimensity 8200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹42,999","₹42,999",4.5832 Ratings & 131 Reviews
27,"vivo V29 Pro 5G (Blue, 256 GB)","vivo V29 Pro 5G (Blue, 256 GB)4.5832 Ratings & 131 Reviews12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 12MP + 8MP | 50MP Front Camera4600 mAh BatteryDimensity 8200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories₹42,999","₹42,999",4.5832 Ratings & 131 Reviews
28,"Nothing Phone (2) (White, 512 GB)","Nothing Phone (2) (White, 512 GB)4.46,414 Ratings & 838 Reviews12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50 MP(OIS) +50MP | 32MP Front Camera4700 mAh Lithium ion BatteryQualcomm Snapdragon 8+ Gen 1 ProcessorLTPO AMOLED (1 Hz - 120 Hz)1 Year Manufacturing Warranty₹49,999₹59,99916% offFree deliveryFestive Best PriceUpto ₹42,000 Off on Exchange","₹49,999","4.46,414 Ratings & 838 Reviews"
29,"OnePlus 11R 5G (Sonic Black, 256 GB)","OnePlus 11R 5G (Sonic Black, 256 GB)4.58,294 Ratings & 648 Reviews16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh BatteryDomestic warranty of 12 months on phone & 6 months on accessries₹44,999Free deliverySave extra with combo offersOnly 2 left","₹44,999","4.58,294 Ratings & 648 Reviews"
30,"Nothing Phone (2) (Dark Grey, 512 GB)","Nothing Phone (2) (Dark Grey, 512 GB)4.46,414 Ratings & 838 Reviews12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50 MP(OIS) +50MP | 32MP Front Camera4700 mAh Lithium ion BatteryQualcomm Snapdragon 8+ Gen 1 ProcessorLTPO AMOLED (1 Hz - 120 Hz)1 Year Manufacturing Warranty₹49,999₹59,99916% offFree deliveryFestive Best PriceUpto ₹42,000 Off on Exchange","₹49,999","4.46,414 Ratings & 838 Reviews"
